"ID","FEMALE","MALE","AGE","S","ASVAB01","ASVAB02","ASVAB03","ASVAB04","ASVAB05","ASVAB06","ASVABC","EARNINGS"
"33",2391,0,1,44,12,60,47,52,53,42,35,50.81293,7.5
"34",4470,0,1,39,18,56,49,56,53,57,49,52.99389,21.92
"35",3195,0,1,42,12,48,64,50,53,51,58,59.53675,14.1
"36",1386,0,1,41,12,40,39,43,44,52,42,41.54387,15.75
"37",3706,0,1,45,13,54,53,56,50,50,40,54.35698,20.19
"38",1055,0,1,42,16,58,62,56,56,62,62,60.89985,8.3
"39",2595,0,1,42,12,42,42,37,41,44,45,40.72601,9.61
"40",3420,0,1,43,14,56,59,59,53,43,39,59.26414,26.44
"41",3059,0,1,45,12,54,36,44,50,46,47,41.81648,21.39
"42",5579,0,1,40,12,44,54,44,56,60,49,53.26651,41.25
"43",5197,0,1,39,17,56,49,57,56,56,54,54.08437,25
"44",3468,0,1,43,15,58,64,60,62,52,56,64.71653,19.35
"45",1099,0,1,42,14,48,59,57,53,37,47,58.7189,21.36
"46",2861,0,1,39,17,68,66,61,59,62,57,65.26176,39.86
"47",342,0,1,39,16,68,65,60,59,54,57,64.44391,38.46
"48",3232,0,1,45,14,54,62,55,47,54,57,58.17366,12.5
"49",5395,0,1,38,17,50,55,43,56,56,48,53.53913,10
"50",2178,0,1,38,16,54,53,54,59,62,47,56.26532,19.23
"51",1239,0,1,41,13,50,43,51,56,38,42,49.17721,18.75
"52",2116,0,1,41,12,40,35,43,44,41,48,39.36291,10
"53",2633,0,1,39,16,64,66,59,62,62,64,65.53439,29.24
"54",776,0,1,41,17,66,64,60,59,62,57,63.89867,59
"55",5521,0,1,41,12,68,58,54,62,52,38,59.80938,10
"56",2309,0,1,41,12,42,47,39,38,42,37,43.17958,5.15
"57",644,0,1,44,20,64,58,61,59,53,48,60.89985,54.48
"58",3985,0,1,44,13,44,47,42,50,32,46,47.26888,26.7
"59",3712,0,1,40,16,62,55,59,53,56,46,57.08318,19.8
"60",4764,0,1,42,12,52,47,48,50,54,48,48.90459,19
"61",4143,0,1,39,12,58,58,52,50,46,37,55.9927,16.91
"62",1527,0,1,45,12,28,35,28,29,39,31,31.18432,12
"63",1002,0,1,39,12,28,35,31,26,36,47,31.18432,6
"64",4349,0,1,38,10,30,32,31,20,41,31,27.91289,7.5
"65",4688,0,1,42,16,60,65,61,56,59,54,63.89867,31.46
"66",1963,0,1,41,12,54,55,55,53,62,63,55.9927,19.87
"67",2314,0,1,45,12,52,59,55,50,62,59,57.3558,20.94
"68",4760,0,1,38,17,64,64,60,56,53,49,63.08081,18.19
"69",2649,0,1,41,18,68,64,60,62,48,38,64.71653,15.38
"70",393,0,1,39,13,58,62,56,44,51,50,57.62842,25
"71",3140,0,1,43,13,50,46,56,56,57,54,52.17603,29.32
"72",4443,0,1,42,12,46,39,52,44,28,47,43.99744,8.77
"73",5398,0,1,39,16,52,58,54,62,52,52,59.80938,38.46
"74",2010,0,1,44,19,62,54,60,59,60,57,58.44628,47
"75",2614,0,1,42,12,46,49,37,44,36,39,45.36054,17.3
"76",3495,0,1,45,12,54,53,50,50,48,48,52.72127,23.15
"77",3484,0,1,37,12,36,34,38,20,37,48,30.9117,11
"78",3391,0,1,43,17,68,66,61,62,53,60,66.07963,27.04
"79",1122,0,1,45,16,68,65,61,62,51,54,65.53439,27
"80",2741,0,1,45,12,50,57,54,50,54,52,55.9927,11.3
"81",1744,0,1,41,13,54,58,57,50,42,28,57.3558,25
"82",1721,0,1,43,12,36,39,31,32,61,40,35.001,75.58
"83",1000,0,1,41,14,58,54,60,56,54,50,57.62842,25.12
"84",1418,0,1,37,12,48,49,46,47,43,29,48.63197,12.75
"85",3595,0,1,41,12,50,57,43,47,62,57,52.17603,24
"86",3833,0,1,38,12,52,51,48,47,57,54,50.26769,13.33
"87",605,0,1,39,12,56,53,50,50,38,57,52.72127,20
"88",2055,0,1,43,12,52,65,56,59,51,36,63.35343,11
"89",4517,0,1,42,16,54,43,54,41,56,44,45.90578,35.02
"90",3307,0,1,45,15,36,39,37,35,47,41,37.45457,9.7
"91",3037,0,1,43,12,44,58,57,56,57,39,58.99152,24.78
"92",2477,0,1,37,15,58,43,56,59,55,54,51.35817,17.5
"93",2613,0,1,43,13,62,65,56,59,52,54,63.35343,20.68
"94",1569,0,1,40,16,68,55,60,56,41,37,58.17366,23.17
"95",4278,0,1,42,12,62,57,57,50,55,63,56.81056,19.46
"96",1429,0,1,44,16,48,54,60,59,62,56,58.44628,16.82
"97",2188,0,1,38,14,36,43,41,38,52,55,41.54387,9.68
"98",1058,0,1,38,13,44,40,48,47,53,44,44.27006,13
"99",2468,0,1,39,16,58,64,54,59,61,58,62.26295,76.92
"100",4299,0,1,38,16,54,62,48,56,53,48,58.7189,16.66
"101",1333,0,1,43,12,38,31,24,20,21,27,25.45931,5
"102",4297,0,1,41,13,48,47,56,53,54,57,51.90341,26.22
"103",3033,0,1,44,18,58,58,60,56,62,56,59.80938,63.46
"104",4791,0,1,45,12,48,42,38,41,39,45,40.99863,13.94
"105",2470,0,1,39,12,48,54,51,56,55,54,55.17484,7.69
"106",11947,0,1,40,12,24,42,34,35,43,47,38.27243,40.59
"107",2666,0,1,38,9,28,34,29,29,36,25,30.9117,6.48
"108",4813,0,1,37,14,50,49,55,50,51,31,51.90341,25.96
"109",196,0,1,37,18,64,64,56,62,62,61,63.62605,57.26
"110",3875,0,1,39,16,52,62,55,62,61,59,62.26295,24.67
"111",3202,0,1,43,12,52,43,54,50,46,32,48.35935,14.25
"112",3634,0,1,37,9,40,40,37,23,38,28,34.72837,7.21
"113",489,0,1,41,14,52,65,54,44,55,57,58.7189,34.18
"114",3780,0,1,38,12,48,53,50,50,52,48,52.72127,24.03
"115",5147,0,1,44,12,46,47,52,59,53,61,52.44865,32.05
"116",813,0,1,42,20,58,65,59,56,62,57,63.35343,14.05
"117",868,0,1,41,19,66,65,61,56,50,59,63.89867,16.82
"118",90,0,1,43,16,56,64,57,56,46,55,62.26295,44.32
"119",4313,0,1,38,12,34,38,35,35,41,43,36.36409,7.5
"120",945,0,1,43,16,50,49,52,59,47,50,53.53913,10.67
"121",4129,0,1,39,14,50,57,51,50,50,54,55.17484,14.21
"122",1957,0,1,42,12,28,43,34,29,26,37,37.18195,9.37
"123",730,0,1,41,15,52,55,52,62,60,59,57.62842,36.05
"124",669,0,1,41,12,46,61,55,59,52,48,60.89985,13.34
"125",5402,0,1,43,12,46,36,48,47,52,32,42.0891,19.23
"126",2550,0,1,42,16,54,61,51,53,49,51,58.17366,15.66
"127",616,0,1,39,12,42,38,26,32,20,25,33.09266,14.5
"128",2264,0,1,42,12,46,46,43,56,49,42,48.63197,13.65
"129",5558,0,1,40,12,32,31,26,23,21,29,26.82241,13.8
"130",11998,0,1,42,18,68,64,61,56,56,55,63.35343,44.18
"131",4832,0,1,41,14,58,64,55,53,62,59,60.89985,33.65
"132",11945,0,1,37,13,28,35,34,38,42,39,35.27361,15
"133",3676,0,1,41,16,52,65,56,59,53,54,63.35343,26.92
"134",11791,0,1,38,16,54,50,52,53,55,54,52.44865,57.69
"135",18,0,1,44,13,62,66,61,59,62,59,65.26176,113.96
"136",684,0,1,42,12,44,47,39,44,42,44,44.8153,33.22
"137",2043,0,1,45,17,60,61,57,62,48,50,62.26295,40.14
"138",2980,0,1,44,20,68,66,61,59,62,65,65.26176,22.18
"139",540,0,1,39,12,40,42,35,41,62,47,40.18077,16.25
"140",1081,0,1,40,14,58,51,55,59,48,43,55.44746,15
"141",3139,0,1,38,16,52,57,55,59,52,50,58.7189,8.88
"142",955,0,1,43,12,66,50,56,47,61,54,51.90341,16
"143",2172,0,1,39,14,48,50,44,50,53,43,49.44983,18
"144",2191,0,1,44,12,56,54,51,47,42,42,52.72127,11.32
"145",4380,0,1,45,13,52,64,56,62,62,48,63.62605,18.5
"146",4646,0,1,42,12,52,49,44,50,53,54,48.90459,25
"147",4695,0,1,43,16,68,65,61,56,50,47,63.89867,38.46
"148",4701,0,1,42,12,54,58,47,53,51,50,55.44746,45.35
"149",3591,0,1,41,12,50,61,52,59,58,49,60.082,26.82
"150",11976,0,1,39,12,32,42,26,38,30,48,36.90933,12.4
"151",2032,0,1,37,12,36,40,37,41,41,42,39.63553,12.83
"152",1950,0,1,40,16,62,46,60,50,60,62,51.63079,16.11
"153",2509,0,1,40,16,58,59,56,59,62,60,60.082,30
"154",4303,0,1,38,12,44,57,48,41,43,48,51.90341,15.23
"155",3838,0,1,37,12,38,42,48,53,61,53,46.99625,19.23
"156",2702,0,1,44,16,58,59,55,59,56,57,59.80938,18.98
"157",1268,0,1,43,16,66,64,61,62,53,55,64.98915,27.09
"158",488,0,1,38,12,50,46,52,47,43,47,48.63197,19.23
"159",12056,0,1,42,15,62,61,59,56,46,48,61.17247,2.5
"160",12100,0,1,40,12,52,57,47,50,56,56,54.08437,16.62
"161",2870,0,1,40,18,62,66,51,56,56,53,61.71771,22.39
"162",408,0,1,41,12,64,66,57,62,53,52,64.98915,28.79
"163",1651,0,1,39,12,52,58,52,50,62,65,55.9927,33.22
"164",4390,0,1,38,12,40,42,43,38,52,48,41.54387,15.04
"165",5359,0,1,44,12,58,65,60,53,55,54,62.80819,11
"166",1784,0,1,38,15,64,57,60,53,42,43,58.44628,39.53
"167",2341,0,1,41,14,54,65,51,59,62,63,61.99033,31.25
"168",2547,0,1,37,12,50,43,48,47,41,37,45.90578,18.56
"169",2091,0,1,39,9,40,34,31,23,39,45,29.82122,9
"170",3971,0,1,39,19,66,66,60,62,49,48,65.80701,32.69
"171",3215,0,1,44,12,62,53,60,59,51,42,57.90104,17.3
"172",2378,0,1,37,15,42,53,42,53,61,50,51.35817,15.69
"173",4977,0,1,42,8,48,40,34,32,43,47,36.36409,8
"174",12050,0,1,43,13,42,50,48,50,59,42,50.54031,14
"175",2816,0,1,41,12,38,36,44,32,50,52,36.90933,26.22
"176",944,0,1,42,18,64,66,61,59,62,71,65.26176,24.5
"177",201,0,1,45,16,56,65,61,56,62,60,63.89867,105.7
"178",12093,0,1,38,12,56,53,50,44,46,45,51.08555,15
"179",2999,0,1,43,13,58,59,59,53,56,55,59.26414,15.86
"180",2976,0,1,38,12,48,58,50,59,43,41,57.90104,21.23
"181",2800,0,1,40,18,64,65,61,59,51,64,64.71653,50.16
"182",12110,0,1,37,16,58,55,52,47,24,46,53.53913,35.04
"183",5456,0,1,38,12,46,40,31,29,50,44,34.72837,9.41
"184",4261,0,1,43,8,44,43,38,38,44,46,40.72601,18
"185",3967,0,1,44,16,56,64,51,56,54,55,60.62724,41.02
"186",815,0,1,42,12,52,62,48,56,44,48,58.7189,10
"187",4394,0,1,41,12,50,51,50,56,55,57,53.26651,65.11
"188",797,0,1,40,12,54,51,57,56,62,34,55.17484,25.9
"189",769,0,1,41,12,54,42,59,41,50,49,46.72364,17.75
"190",4983,0,1,38,12,42,35,50,32,42,36,37.99981,16.5
"191",5307,0,1,42,12,44,38,48,47,40,39,43.17958,12.19
"192",4508,0,1,44,16,56,62,57,44,62,44,57.90104,25.64
"193",5407,0,1,38,10,48,34,39,47,46,45,38.54505,14
"194",139,0,1,38,15,56,58,56,59,49,50,59.53675,28.84
"195",3612,0,1,39,12,44,42,52,44,40,46,45.63316,13.25
"196",119,0,1,45,16,48,35,56,56,37,42,46.1784,18.75
"197",5020,0,1,44,17,68,66,61,56,60,63,64.44391,33.65
"198",2838,0,1,40,16,66,66,60,56,58,50,64.17129,26.49
"199",11776,0,1,44,10,42,35,54,53,53,52,44.8153,13.73
"200",5306,0,1,38,12,50,47,44,35,46,39,43.72482,10.76
"201",3561,0,1,38,12,38,38,30,20,27,34,30.9117,15.55
"202",3569,0,1,38,12,44,35,44,47,46,59,40.45338,15.6
"203",12088,0,1,41,16,60,65,59,62,52,50,64.98915,17
"204",2584,0,1,37,12,32,38,26,35,36,45,33.91051,12
"205",2187,0,1,40,13,52,46,52,41,46,50,46.99625,30
"206",3290,0,1,41,20,60,64,60,59,53,59,63.89867,41.15
"207",1802,0,1,38,12,66,61,52,50,53,42,57.62842,13
"208",2772,0,1,38,12,32,38,38,35,49,31,37.18195,8
"209",1288,0,1,44,14,28,39,30,44,52,49,37.99981,11.64
"210",3346,0,1,39,12,42,40,38,29,48,49,36.63671,17.5
"211",701,0,1,42,9,42,31,43,41,30,39,36.36409,6.5
"212",4513,0,1,43,15,48,59,57,56,61,41,59.53675,18.6
"213",4900,0,1,45,12,54,53,55,56,43,48,55.72008,18.75
"214",1456,0,1,39,12,52,49,42,47,42,46,47.5415,8
"215",4755,0,1,40,12,44,55,44,53,48,56,52.99389,17.8
"216",870,0,1,39,12,50,39,33,29,35,29,34.72837,8.93
"217",3235,0,1,42,12,50,61,54,59,53,55,60.62724,10.65
"218",412,0,1,37,14,54,57,55,50,50,45,56.26532,15.62
"219",1964,0,1,45,12,44,45,51,53,38,41,49.44983,9.09
"220",387,0,1,39,12,26,39,24,20,26,27,29.82122,10.5
"221",1672,0,1,39,12,40,57,52,59,47,54,57.90104,3.75
"222",1925,0,1,41,12,54,59,54,56,62,58,58.7189,11.54
"223",1966,0,1,41,12,68,58,59,59,52,52,60.35461,21.63
"224",2335,0,1,45,13,54,61,57,62,62,63,62.26295,21.36
"225",2939,0,1,44,15,62,65,60,62,53,59,65.26176,27.77
"226",697,0,1,45,12,46,42,50,38,30,42,43.4522,24
"227",3873,0,1,42,20,66,66,61,59,61,56,65.26176,44.87
"228",4359,0,1,43,17,52,46,54,56,57,51,51.63079,13.9
"229",1601,0,1,40,16,50,45,50,56,61,56,49.99507,31.46
"230",2089,0,1,39,12,40,38,41,41,53,46,39.63553,15
"231",3482,0,1,43,13,34,43,42,35,40,39,40.99863,20.5
"232",1433,0,1,39,17,40,46,43,41,49,36,44.54268,20.19
"233",273,0,1,42,15,48,57,59,47,61,57,56.53794,16.15
"234",4498,0,1,39,12,50,50,47,56,62,52,51.90341,17
"235",1340,0,1,45,12,46,40,35,53,46,41,42.36172,8.4
"236",1565,0,1,38,18,68,62,59,56,41,59,61.71771,48.07
"237",3246,0,1,41,12,58,53,50,47,55,48,51.90341,13.27
"238",5461,0,1,37,8,34,34,28,26,23,27,29.82122,18.66
"239",11829,0,1,39,12,22,38,25,29,29,32,32.00218,9.2
"240",5527,0,1,42,9,30,38,28,29,20,39,32.82004,8.5
"241",4776,0,1,40,12,50,43,39,38,44,41,40.99863,13.5
"242",4586,0,1,37,12,56,65,54,50,53,43,60.35461,26.5
"243",5420,0,1,39,16,56,62,56,59,62,50,61.71771,33.21
"244",1174,0,1,42,16,62,66,59,56,55,61,63.89867,69.23
"245",3857,0,1,39,16,58,66,57,59,58,45,64.17129,30.62
"246",2122,0,1,43,12,46,43,33,32,20,29,37.72719,9.8
"247",5625,0,1,39,12,60,50,54,53,50,54,52.99389,17.5
"248",486,0,1,38,12,48,46,44,56,43,46,48.90459,42.3
"249",4430,0,1,39,15,54,61,57,56,58,47,60.62724,22.11
"250",686,0,1,38,18,56,53,60,53,61,55,56.26532,21.63
"251",4166,0,1,42,12,50,55,56,59,46,43,57.90104,11.81
"252",959,0,1,42,14,58,66,57,62,54,55,64.98915,39.91
"253",1500,0,1,42,12,50,42,52,38,25,35,43.99744,21
"254",3196,0,1,43,12,58,55,54,50,62,66,54.90222,19.59
"255",3693,0,1,39,9,50,45,46,47,41,44,46.45102,25
"256",457,0,1,42,16,64,58,56,59,44,45,59.53675,19.23
"257",3141,0,1,40,16,62,65,61,59,62,61,64.71653,33.65
"258",2365,0,1,40,12,46,47,39,53,37,56,47.26888,15.5
"259",189,0,1,43,16,54,58,51,56,46,50,57.3558,66.14
"260",3680,0,1,39,16,56,62,56,59,32,54,61.71771,15.81
"261",3229,0,1,38,20,62,50,55,59,52,47,54.90222,48.07
"262",2516,0,1,40,12,60,59,50,53,52,56,56.81056,17.3
"263",2460,0,1,42,12,62,51,54,44,44,52,51.08555,10.2
"264",4008,0,1,44,13,38,40,39,32,31,48,37.72719,22.75
"265",155,0,1,38,9,56,40,51,47,52,51,45.08792,20.83
"266",11846,0,1,39,12,32,35,34,38,37,40,35.27361,16.42
"267",5067,0,1,39,16,46,57,44,59,62,54,55.72008,44.71
"268",3168,0,1,44,19,68,65,60,59,54,39,64.44391,37.11
"269",4623,0,1,38,12,54,47,31,29,39,37,38.54505,25
"270",3866,0,1,43,18,58,65,56,56,61,67,62.53557,16.53
"271",1885,1,0,42,16,52,49,57,56,55,54,54.08437,17.62
"272",4054,1,0,41,14,42,40,44,47,51,38,43.17958,21
"273",4925,1,0,41,12,58,49,60,59,60,45,55.72008,19.5
"274",174,1,0,42,13,42,49,54,53,50,53,52.44865,20.62
"275",883,1,0,37,15,46,54,52,53,53,47,54.6296,25
"276",2918,1,0,44,12,52,50,55,59,57,47,54.90222,12.5
"277",12097,1,0,39,12,42,39,48,50,53,59,44.54268,22.19
"278",1539,1,0,44,12,52,46,60,62,55,55,54.90222,14.53
"279",1385,1,0,38,13,46,47,44,47,44,36,46.99625,19.23
"280",1155,1,0,40,14,36,39,38,44,60,58,40.18077,20.87
"281",5478,1,0,45,12,62,51,59,53,52,54,54.90222,9.2
"282",1727,1,0,38,12,38,43,33,41,46,51,40.18077,38.46
"283",5189,1,0,39,12,54,46,57,53,44,50,51.63079,9
"284",2272,1,0,41,12,52,47,52,59,52,54,52.44865,25.91
"285",5315,1,0,42,14,52,45,60,56,52,58,52.72127,11.25
"286",1598,1,0,38,14,42,54,51,47,56,60,52.72127,13
"287",12066,1,0,42,14,40,46,51,44,29,50,47.5415,6
"288",1799,1,0,38,13,44,50,44,50,53,52,49.44983,24.03
"289",3754,1,0,40,12,50,61,57,56,58,60,60.62724,14.75
"290",1787,1,0,39,17,38,46,44,50,47,56,47.26888,22.59
"291",5283,1,0,41,11,36,36,43,38,33,37,38.27243,6
"292",839,1,0,42,15,44,31,35,38,32,34,33.36528,9.61
"293",3243,1,0,44,16,54,55,57,53,62,44,56.53794,9.61
"294",11848,1,0,40,16,50,42,52,56,52,54,48.90459,11.48
"295",491,1,0,42,12,42,45,33,29,52,34,37.99981,30.55
"296",254,1,0,41,12,56,66,59,59,62,65,64.71653,13.02
"297",3537,1,0,44,12,48,42,56,56,39,32,49.99507,16
"298",11886,1,0,44,14,66,53,61,62,55,56,58.99152,10
"299",11834,1,0,43,9,50,38,41,41,31,47,39.63553,7.23
"300",816,1,0,44,16,46,38,55,62,52,66,49.17721,7.25
"301",4037,1,0,38,15,52,55,60,62,49,47,59.80938,11.83
"302",1005,1,0,43,12,48,50,39,53,47,38,48.90459,10.5
"303",2706,1,0,40,12,34,36,35,35,41,44,35.27361,11.5
"304",4645,1,0,44,16,56,54,55,56,54,54,56.26532,18.33
"305",4417,1,0,40,10,30,39,29,23,55,52,32.00218,15
"306",1778,1,0,42,12,48,54,46,53,61,52,52.99389,7.5
"307",1980,1,0,43,12,44,38,39,50,47,51,41.54387,3.33
"308",1599,1,0,45,12,48,53,56,53,54,46,55.17484,15.11
"309",4219,1,0,40,14,52,38,47,47,52,54,42.90696,15.78
"310",327,1,0,44,16,64,64,61,56,49,61,63.35343,10.75
"311",11797,1,0,38,14,42,38,51,38,41,26,41.54387,17.73
"312",2948,1,0,45,16,62,59,59,56,62,63,60.082,9.97
"313",1745,1,0,38,17,56,57,56,62,62,49,59.80938,31.25
"314",2680,1,0,41,17,52,51,60,59,62,50,56.81056,68.91
"315",3413,1,0,44,12,56,65,57,56,59,63,62.80819,13.5
"316",4292,1,0,45,14,48,54,50,62,52,55,56.53794,17.57
"317",1110,1,0,39,12,50,47,47,50,48,47,48.63197,7
"318",5373,1,0,41,16,54,62,60,59,52,56,62.80819,20
"319",5482,1,0,42,12,34,34,28,29,28,34,30.63908,10.41
"320",5502,1,0,40,12,42,45,39,44,41,47,43.72482,8.3
"321",2452,1,0,42,12,46,40,55,53,46,56,47.81411,12
"322",12046,1,0,43,16,48,57,59,59,61,67,59.80938,7.25
"323",354,1,0,45,12,58,57,60,53,57,59,58.44628,8.55
"324",2521,1,0,39,12,42,36,39,38,52,54,37.18195,10.21
"325",3309,1,0,41,17,60,59,61,59,62,60,61.44509,24.03
"326",2129,1,0,41,12,50,43,50,56,51,59,48.90459,7.25
"327",4267,1,0,44,14,34,38,44,50,47,54,42.90696,7.5
"328",1313,1,0,41,12,34,34,24,26,37,34,28.73074,8.26
"329",3475,1,0,41,12,44,36,38,41,44,60,37.72719,10.89
"330",1730,1,0,44,16,58,58,61,53,60,60,59.26414,24.03
"331",5037,1,0,43,14,50,49,50,50,53,54,50.54031,7.79
"332",1623,1,0,42,17,68,66,60,62,49,54,65.80701,7.5
"333",5014,1,0,38,10,40,34,35,32,46,50,33.36528,9
"334",2946,1,0,38,16,50,59,54,56,57,59,58.7189,26.92
"335",4103,1,0,43,12,48,47,55,53,57,55,51.63079,16.58
"336",5450,1,0,41,12,32,42,42,35,28,39,40.45338,11.5
"337",2242,1,0,44,15,58,49,55,56,56,55,53.53913,19.44
"338",5264,1,0,45,12,28,42,26,29,53,43,34.45576,21.25
"339",1394,1,0,42,15,52,54,54,62,58,58,57.62842,23
"340",43,1,0,41,12,46,34,35,35,41,47,34.18314,6.5
"341",4585,1,0,40,10,54,64,51,50,60,57,58.99152,12
"342",2211,1,0,41,12,38,39,35,47,48,56,40.18077,10.79
"343",1775,1,0,38,13,38,45,43,44,57,32,44.8153,12.27
"344",1071,1,0,40,12,34,38,26,47,32,44,37.18195,6.75
"345",1087,1,0,39,18,66,66,61,62,50,54,66.07963,23.07
"346",2103,1,0,45,13,56,43,54,56,54,56,49.99507,12
"347",11905,1,0,42,15,48,53,47,50,50,54,51.90341,16.02
"348",648,1,0,38,13,44,43,44,53,62,55,46.45102,10
"349",3546,1,0,38,15,46,47,50,47,47,47,48.63197,20.88
"350",1240,1,0,38,18,62,61,57,50,53,50,58.99152,21.15
"351",5488,1,0,44,11,40,39,38,35,53,45,37.72719,5.4
"352",2299,1,0,45,16,62,66,61,59,62,63,65.26176,16.15
"353",4034,1,0,42,12,50,53,50,62,62,62,55.9927,15.38
"354",5301,1,0,39,12,62,51,61,62,54,65,57.90104,19.6
"355",5305,1,0,40,12,42,45,35,44,61,56,42.63434,7.25
"356",12099,1,0,37,18,58,54,59,47,46,49,54.90222,11
"357",12087,1,0,45,13,48,38,44,50,44,50,42.90696,8.5
"358",3544,1,0,39,12,28,34,31,41,46,32,34.72837,7.85
"359",2074,1,0,40,12,50,53,57,56,61,66,56.26532,22
"360",2629,1,0,40,12,42,53,54,56,48,54,55.44746,14.9
"361",1826,1,0,41,12,50,49,57,56,61,59,54.08437,20.34
"362",2748,1,0,45,12,34,36,34,26,27,47,32.54742,17.78
"363",4686,1,0,43,17,54,64,55,59,62,68,62.53557,23.65
"364",5041,1,0,41,12,40,36,38,47,51,57,39.36291,7.08
"365",12005,1,0,40,15,42,39,55,47,53,50,45.63316,16
"366",1296,1,0,40,12,44,38,41,56,62,58,43.72482,5.3
"367",1423,1,0,44,12,60,49,57,56,54,51,54.08437,17.68
"368",388,1,0,39,15,58,53,61,56,54,50,57.3558,30
"369",1548,1,0,41,10,40,46,50,50,50,44,48.90459,7
"370",2936,1,0,43,18,52,46,60,56,41,30,53.26651,24.19
"371",3781,1,0,42,16,48,53,57,59,61,56,57.08318,27.4
"372",2959,1,0,39,20,66,64,39,59,62,72,58.17366,80.12
"373",1546,1,0,42,12,34,34,47,53,51,53,42.36172,2.13
"374",3734,1,0,40,15,58,51,56,59,62,62,55.72008,21
"375",2246,1,0,42,13,50,53,60,56,35,46,57.08318,8.35
"376",2585,1,0,42,13,48,47,55,53,53,57,51.63079,14
"377",112,1,0,38,11,56,39,50,50,46,42,45.08792,10.05
"378",3151,1,0,40,12,42,39,48,50,62,60,44.54268,15
"379",1322,1,0,44,12,48,39,39,47,41,54,41.27124,5.15
"380",5351,1,0,38,18,56,57,56,56,49,56,58.17366,18.02
"381",1929,1,0,44,14,64,66,61,59,62,57,65.26176,29.53
"382",3787,1,0,45,15,58,58,57,53,61,50,58.17366,6.28
"383",2590,1,0,41,16,48,57,60,59,62,62,60.082,19.23
"384",1255,1,0,39,18,44,64,57,62,53,68,63.89867,31.25
"385",3648,1,0,41,12,48,47,46,56,51,59,49.99507,5.85
"386",5049,1,0,43,13,46,49,60,62,56,63,56.53794,9
"387",219,1,0,42,20,46,55,52,56,56,60,55.9927,34.61
"388",4306,1,0,45,18,54,57,60,62,62,63,60.89985,13.95
"389",585,1,0,39,9,42,39,43,44,51,27,41.54387,10.4
"390",2205,1,0,40,14,50,55,47,44,59,56,51.35817,12
"391",288,1,0,40,12,52,39,38,44,49,50,40.18077,8.7
"392",936,1,0,41,14,56,46,50,59,61,72,51.35817,15.75
"393",528,1,0,38,12,56,43,41,44,55,57,43.17958,30.76
"394",2076,1,0,45,12,46,51,52,47,53,57,51.35817,15.5
"395",379,1,0,38,8,32,34,24,32,20,25,30.36646,5
"396",1965,1,0,41,12,48,47,50,56,54,51,51.08555,10.01
"397",4310,1,0,40,12,54,47,55,50,53,50,50.81293,12.5
"398",4890,1,0,44,13,52,50,50,56,62,56,52.72127,10
"399",2626,1,0,40,20,58,54,57,53,61,57,55.9927,18.71
"400",2462,1,0,43,11,46,39,47,53,55,59,45.08792,8
"401",405,1,0,42,13,40,38,46,47,48,54,42.63434,12.5
"402",3545,1,0,39,14,46,39,50,50,51,50,45.08792,16.34
