pa;x;y;Alt;Das;Pen;Smm;Qmm;Vme;Tmm;Con;pH;Dur;Cl.;SO4;PO4;NO3;N;O2;OXY;DBO
1;332.9847328;188.3757807;3;4;8;5;3;3;3;5;6;6;0;0;3;2;0;9;0;1
1;348.03678;200.9191534;2;5;6;5;4;2;4;5;5;6;0;0;4;3;0;9;0;1
1;360.5801527;210.9538515;2;5;6;6;5;3;4;4;7;5;0;0;4;2;0;9;0;1
0;472.6342817;257.7824427;3;1;6;1;0;0;2;6;6;7;1;0;7;7;5;8;0;1
0;461.7633588;256.1099931;3;2;9;2;0;0;2;6;5;7;1;0;7;7;5;8;1;1
1;448.3837613;254.4375434;3;3;8;2;0;2;3;6;6;8;1;0;9;7;6;9;1;1
1;437.5128383;252.7650937;3;4;7;3;1;2;4;6;6;8;1;0;9;7;7;9;1;2
0;424.1332408;253.6013185;2;4;7;4;2;4;4;6;6;9;3;4;9;7;9;4;3;9
1;416.6072172;264.4722415;2;4;7;5;4;3;4;6;6;8;1;1;9;7;8;6;2;3
1;409.9174185;277.851839;2;5;7;5;5;3;5;6;6;8;0;0;8;6;7;9;1;1
0;397.3740458;286.2140874;2;5;4;5;5;3;6;6;5;9;9;1;9;9;9;0;9;9
0;300.3719639;190.8844552;3;1;7;3;0;1;3;5;7;6;0;0;8;3;7;9;1;1
1;290.3372658;194.2293546;3;3;7;4;1;1;4;5;6;6;0;0;6;3;7;8;1;1
1;280.3025677;200.9191534;3;3;7;4;1;0;5;5;7;7;0;0;8;4;9;8;2;2
1;271.9403192;207.6089521;2;4;8;3;1;2;5;4;6;5;1;0;6;6;8;9;1;1
1;267.759195;216.8074254;1;5;5;4;1;0;5;5;7;6;1;0;5;5;8;6;1;1
0;320.4413602;211.7900763;2;0;9;4;2;2;1;6;4;6;0;0;7;6;0;8;0;1
0;309.5704372;213.462526;2;1;8;4;2;1;3;6;5;7;0;0;7;6;5;9;0;1
0;297.0270645;216.8074254;1;3;7;5;3;1;4;6;6;6;1;0;7;6;5;9;0;1
1;292.0097155;226.0058987;1;4;5;5;3;1;5;5;6;6;1;0;7;6;6;9;0;1
0;287.8285913;144.055864;3;0;9;5;4;2;1;4;4;8;4;0;2;4;0;8;0;1
0;280.3025677;151.5818876;2;3;8;5;4;3;1;4;6;8;6;0;1;4;0;9;0;1
0;273.6127689;157.4354615;2;3;6;6;5;3;2;5;6;9;3;0;4;5;0;8;0;1
0;266.0867453;163.2890354;2;4;7;6;6;4;2;4;6;9;3;0;4;6;3;9;0;1
0;260.2331714;169.9788341;2;5;5;6;6;6;2;5;5;8;3;1;5;7;6;9;1;2
1;246.8535739;163.2890354;2;5;4;6;6;6;3;4;6;8;2;0;4;6;5;9;1;1
1;236.8188758;157.4354615;2;5;5;6;7;6;4;4;6;8;2;0;5;6;3;9;0;1
1;225.9479528;150.7456627;1;6;4;6;7;5;4;4;6;8;3;0;5;5;5;9;0;2
1;213.4045802;154.926787;1;6;4;7;7;3;5;4;6;9;2;1;6;5;6;9;1;2
1;205.0423317;168.3063845;1;6;4;7;7;2;5;4;6;8;2;0;6;6;0;9;0;2
1;190.8265094;164.1252602;1;6;4;7;7;3;5;5;6;8;5;1;7;6;5;9;2;2
1;181.6280361;156.5992366;1;6;4;7;7;3;5;5;6;8;6;1;7;6;6;9;0;2
1;179.9555864;133.184941;1;6;4;7;7;4;5;5;6;9;6;1;7;6;6;9;0;2
1;169.0846634;129.0038168;1;6;5;7;7;3;5;5;6;8;4;1;7;2;6;9;1;2
1;154.8688411;129.0038168;1;7;4;7;7;4;5;4;6;8;3;1;7;6;6;9;0;2
1;143.9979181;129.0038168;1;7;3;7;7;5;5;5;6;8;2;1;7;5;6;9;0;2
1;132.2907703;129.0038168;1;7;3;7;7;4;5;5;6;9;3;1;7;6;6;9;1;2
0;209.2234559;112.2793199;2;0;9;5;1;0;1;4;6;6;1;0;4;5;6;9;1;1
0;202.5336572;119.8053435;2;2;6;5;1;0;3;4;6;6;1;1;5;6;7;9;1;2
1;196.6800833;129.8400416;2;4;5;5;2;0;4;4;7;6;1;1;5;6;7;9;1;1
1;197.5163081;139.8747398;2;5;6;5;3;1;4;4;6;7;0;2;6;6;8;9;1;1
1;207.5510062;144.8920888;1;5;6;6;4;1;5;4;6;7;0;1;6;5;6;9;1;1
0;183.3004858;40.36398334;3;0;9;3;2;5;1;4;5;6;0;0;7;5;7;6;0;1
0;187.48161;52.907356;3;0;9;3;2;6;2;4;6;6;0;1;3;5;8;8;1;2
0;191.6627342;64.61450382;3;2;8;4;3;7;4;4;6;6;1;1;3;5;8;8;0;1
1;195.0076336;76.32165163;2;3;8;4;3;3;5;6;6;7;1;6;4;6;7;9;0;1
1;197.5163081;84.68390007;2;4;8;4;3;5;6;7;6;7;3;7;6;6;9;3;2;5
1;192.4989591;95.55482304;2;4;7;4;3;5;5;9;7;8;9;9;9;6;9;5;1;3
1;186.6453851;103.0808466;1;4;7;4;3;6;5;9;6;8;8;9;7;6;8;6;1;2
1;177.4469119;113.1155448;1;4;6;3;2;3;6;9;6;8;7;9;7;6;8;8;1;2
1;169.9208883;119.8053435;1;5;6;4;2;2;6;9;6;8;7;9;7;5;8;8;1;2
0;142.3254684;59.59715475;2;0;9;4;2;1;1;5;5;6;0;0;6;2;6;9;0;1
0;144.834143;71.30430257;2;2;9;4;2;1;2;5;5;6;0;0;6;2;7;9;0;1
0;146.5065926;83.01145038;2;2;6;5;2;1;2;3;5;6;0;0;6;2;8;9;0;2
0;149.0152672;94.7185982;2;3;7;5;2;1;3;5;6;6;2;1;7;3;8;6;3;2
1;144.834143;103.9170715;1;4;7;5;2;0;4;5;6;6;0;1;7;2;8;7;2;2
1;135.6356697;111.4430951;1;4;6;5;2;0;4;5;6;6;0;1;8;3;9;9;2;1
1;128.1096461;118.9691187;1;5;5;5;2;0;5;5;6;6;1;1;8;3;8;8;1;1
1;120.5836225;124.8226926;1;5;5;5;2;0;5;5;5;6;1;1;8;3;9;7;1;2
0;169.0846634;166.6339348;1;1;8;3;0;0;2;2;2;2;3;0;5;0;5;3;2;3
0;155.7050659;164.1252602;1;2;7;4;0;0;2;2;3;2;3;0;5;0;6;4;1;3
1;143.1616933;164.1252602;1;3;5;4;2;1;4;2;4;3;3;0;5;2;2;7;1;3
0;167.4122137;154.0905621;1;2;6;1;0;1;5;0;1;1;0;0;5;1;3;0;2;1
1;154.8688411;150.7456627;1;4;4;3;2;6;5;0;2;1;0;0;6;1;3;5;1;2
1;142.3254684;147.4007634;1;5;5;4;3;5;5;1;2;1;0;0;6;1;3;5;1;1
1;128.1096461;145.7283137;1;5;6;3;3;9;5;1;2;2;1;1;6;2;5;8;1;2
1;119.7473976;144.8920888;1;5;5;4;0;1;6;1;3;2;1;0;5;1;4;9;1;2
1;108.8764747;142.3834143;1;5;4;5;3;2;6;3;3;3;1;1;6;2;3;9;1;3
